id;licence;nom;prenom;date_naissance;tel;hauraire_etude
1;mobile Fish;Home Loan Account Table Computer;Trace;2019-10-26;60111;alarm
2;Tasty Metal Bacon;red Chips Soap;Home Loan Account;2019-10-26;43194;intangible
3;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;2019-10-26;4645;Credit Card Account Table Small Frozen Sausages
4;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;2019-10-26;3438;Regional
5;Tuna;hardware Costa Rica Mayotte;Industrial;2019-10-26;77513;Markets Chief
6;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;2019-10-26;35675;mission-critical Faroe Islands Plastic
7;Car Industrial deliverables;orange Books;magenta monitor 1080p;2019-10-26;7404;world-class Frozen IB
8;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;2019-10-26;11959;bus synthesize Idaho
9;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;2019-10-26;90756;Phased
10;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;2019-10-26;80367;maroon
